"Описание структуры набора данных 3_11 «Информация о розыске лиц, скрывшихся от дознания, суда уклоняющихся от исполнения уголовного наказания, без вести пропавших, а также об установлении личности граждан и неопознанных трупов»",,,,,,,,,
"№ п/п","Англоязычное представление наименования поля","Наименование поля","Описание поля","Тип поля","Уник. поле","Обязат. поле","Длина поля","Колич. знаков после запятой","Связь с другой таблицей (название таблицы и поле связи)"
1,"Subject","Субъект","Официальное название субъекта представления статистической отчетности","Текстовое","да","да","150 символов",,
2,"Point FPSR","Пункт ФПСР","Пункт Федерального плана статистических работ","Текстовое","да","да","4 символа",,
3,"Name of the statistical factor","Наименование статистического показателя","Наименование статистического показателя ","Текстовое","да","да","300 символов",,
4,"Importance of the statistical factor","Значение статистического показателя","Значение статистического показателя","Текстовое","да","да","15 символов",,
